route,source,destination,year,month,day,hour,minute,vessel_name,duration_minutes
3,Horseshoe Bay,Langdale,2017,03,05,21,45,Queen of Surrey,37
30,Duke Point,Tsawwassen,2017,02,20,05,15,Coastal Inspiration,125
2,Horseshoe Bay,Departure Bay,2017,02,09,08,30,Queen of Cowichan,99
30,Tsawwassen,Duke Point,2017,04,24,20,15,Queen of Alberni,125
8,Horseshoe Bay,Bowen Island,2017,04,27,07,00,Queen of Capilano,20
1,Tsawwassen,Swartz Bay,2017,04,26,07,00,Spirit of British Columbia,94
30,Tsawwassen,Duke Point,2017,02,03,07,45,Coastal Inspiration,119
3,Horseshoe Bay,Langdale,2017,04,02,06,00,Island Sky,46
4,Swartz Bay,Fulford Harbour,2017,04,25,07,00,Skeena Queen,32
2,Horseshoe Bay,Departure Bay,2017,02,23,08,30,Queen of Cowichan,96
3,Langdale,Horseshoe Bay,2017,02,25,10,25,Queen of Surrey,45
3,Horseshoe Bay,Langdale,2017,03,06,08,20,Queen of Coquitlam,38
4,Swartz Bay,Fulford Harbour,2017,03,31,13,00,Skeena Queen,36
2,Departure Bay,Horseshoe Bay,2017,02,17,19,00,Queen of Cowichan,108
3,Horseshoe Bay,Langdale,2017,03,27,10,15,Island Sky,51
8,Horseshoe Bay,Bowen Island,2017,03,04,18,30,Queen of Capilano,18
2,Departure Bay,Horseshoe Bay,2017,04,24,17,00,Queen of Coquitlam,102
8,Horseshoe Bay,Bowen Island,2017,04,30,12,00,Queen of Capilano,32
1,Tsawwassen,Swartz Bay,2017,04,19,13,00,Spirit of Vancouver Island,88
4,Swartz Bay,Fulford Harbour,2017,03,17,15,00,Skeena Queen,40
3,Horseshoe Bay,Langdale,2017,03,14,18,50,Queen of Coquitlam,40
8,Horseshoe Bay,Bowen Island,2017,03,02,08,00,Queen of Capilano,26
8,Horseshoe Bay,Bowen Island,2017,03,09,06,00,Queen of Capilano,18
30,Tsawwassen,Duke Point,2017,03,05,15,15,Queen of Alberni,117
3,Langdale,Horseshoe Bay,2017,04,29,10,25,Queen of Surrey,49
8,Horseshoe Bay,Bowen Island,2017,03,14,07,00,Queen of Capilano,18
4,Swartz Bay,Fulford Harbour,2017,02,23,21,00,Skeena Queen,26
30,Duke Point,Tsawwassen,2017,02,23,22,45,Queen of Alberni,120
1,Swartz Bay,Tsawwassen,2017,04,27,16,00,Coastal Celebration,84
1,Swartz Bay,Tsawwassen,2017,04,02,15,00,Coastal Renaissance,86
8,Horseshoe Bay,Bowen Island,2017,04,30,19,30,Queen of Capilano,30
8,Horseshoe Bay,Bowen Island,2017,03,24,18,30,Queen of Capilano,18
4,Swartz Bay,Fulford Harbour,2017,03,14,07,00,Skeena Queen,38
8,Horseshoe Bay,Bowen Island,2017,03,06,18,30,Queen of Capilano,26
8,Horseshoe Bay,Bowen Island,2017,02,21,18,30,Queen of Capilano,20
